GRINNING FACE,&#128512
TWO HEARTS,&#128149
SPARKLING HEART,&#128150
GROWING HEART,&#128151
BLUE HEART,&#128153
GREEN HEART,&#128154
YELLOW HEART,&#128155
PURPLE HEART,&#128156
BLACK HEART,&#128420
HEART WITH RIBBON,&#128157
REVOLVING HEARTS,&#128158
HEART DECORATION,&#128159
HEAVY HEART EXCLAMATION MARK ORNAMENT ,&#10083
LOVE LETTER,&#128140
SLEEPING SYMBOL ,&#128164
ANGER SYMBOL,&#128162
BOMB,&#128163
COLLISION SYMBOL ,&#128165
SPLASHING SWEAT SYMBOL ,&#128166
DASH SYMBOL ,&#128168
DIZZY SYMBOL ,&#128171
SPEECH BALLOON,&#128172
LEFT SPEECH BUBBLE,&#128488
RIGHT ANGER BUBBLE,&#128495
THOUGHT BALLOON,&#128173
HOLE,&#128371
EYEGLASSES ,&#128083
DARK SUNGLASSES ,&#128374
NECKTIE,&#128084
T-SHIRT,&#128085
JEANS,&#128086
DRESS,&#128087
KIMONO,&#128088
BIKINI,&#128089
WOMANS CLOTHES ,&#128090
PURSE,&#128091
HANDBAG,&#128092
POUCH,&#128093
SHOPPING BAGS,&#128717
SCHOOL SATCHEL ,&#127890
MANS SHOE ,&#128094
ATHLETIC SHOE ,&#128095
HIGH-HEELED SHOE,&#128096
WOMANS SANDAL ,&#128097
WOMANS BOOTS ,&#128098
CROWN,&#128081
WOMANS HAT ,&#128082
TOP HAT,&#127913
GRADUATION CAP,&#127891
HELMET WITH WHITE CROSS,&#9937
PRAYER BEADS,&#128255
LIPSTICK,&#128132
RING,&#128141
GEM STONE,&#128142
MONKEY FACE,&#128053
MONKEY,&#128018
GORILLA,&#129421
DOG FACE,&#128054
DOG,&#128021
POODLE,&#128041
WOLF FACE,&#128058
FOX FACE,&#129418
CAT FACE,&#128049
CAT,&#128008
LION FACE,&#129409
TIGER FACE,&#128047
TIGER,&#128005
LEOPARD,&#128006
HORSE FACE,&#128052
HORSE,&#128014
DEER,&#129420
UNICORN FACE,&#129412
COW FACE,&#128046
OX,&#128002
WATER BUFFALO,&#128003
COW,&#128004
PIG FACE,&#128055
PIG,&#128022
BOAR,&#128023
PIG NOSE,&#128061
RAM,&#128015
SHEEP,&#128017
GOAT,&#128016
DROMEDARY CAMEL ,&#128042
BACTRIAN CAMEL ,&#128043
ELEPHANT,&#128024
RHINOCEROS,&#129423
MOUSE FACE,&#128045
MOUSE,&#128001
RAT,&#128000
HAMSTER FACE,&#128057
RABBIT FACE,&#128048
RABBIT,&#128007
CHIPMUNK,&#128063
BAT,&#129415
BEAR FACE,&#128059
KOALA,&#128040
PANDA FACE,&#128060
PAW PRINTS,&#128062
TURKEY,&#129411
CHICKEN,&#128020
ROOSTER,&#128019
HATCHING CHICK,&#128035
BABY CHICK,&#128036
FRONT-FACING BABY CHICK,&#128037
BIRD,&#128038
PENGUIN,&#128039
DOVE OF PEACE ,&#128330
EAGLE,&#129413
DUCK,&#129414
OWL,&#129417
FROG FACE,&#128056
CROCODILE,&#128010
TURTLE,&#128034
LIZARD,&#129422
SNAKE,&#128013
DRAGON FACE,&#128050
DRAGON,&#128009
SPOUTING WHALE,&#128051
WHALE,&#128011
DOLPHIN,&#128044
FISH,&#128031
TROPICAL FISH,&#128032
BLOWFISH,&#128033
SHARK,&#129416
OCTOPUS,&#128025
SPIRAL SHELL,&#128026
CRAB,&#129408
SHRIMP,&#129424
SQUID,&#129425
BUTTERFLY,&#129419
SNAIL,&#128012
BUG,&#128027
ANT,&#128028
HONEYBEE,&#128029
LADY BEETLE,&#128030
SPIDER,&#128375
SPIDER WEB,&#128376
SCORPION,&#129410
BOUQUET,&#128144
CHERRY BLOSSOM,&#127800
WHITE FLOWER,&#128174
ROSETTE,&#127989
ROSE,&#127801
WILTED FLOWER,&#129344
HIBISCUS,&#127802
SUNFLOWER,&#127803
BLOSSOM,&#127804
TULIP,&#127799
SEEDLING,&#127793
EVERGREEN TREE ,&#127794
DECIDUOUS TREE,&#127795
PALM TREE,&#127796
CACTUS,&#127797
EAR OF RICE ,&#127806
HERB,&#127807
SHAMROCK,&#9752
FOUR LEAF CLOVER,&#127808
MAPLE LEAF,&#127809
FALLEN LEAF,&#127810
LEAF FLUTTERING IN WIND,&#127811
GRAPES,&#127815
MELON,&#127816
WATERMELON,&#127817
TANGERINE,&#127818
LEMON,&#127819
BANANA,&#127820
PINEAPPLE,&#127821
RED APPLE,&#127822
GREEN APPLE,&#127823
PEAR,&#127824
PEACH,&#127825
CHERRIES,&#127826
STRAWBERRY,&#127827
KIWIFRUIT,&#129373
TOMATO,&#127813
AVOCADO,&#129361
AUBERGINE ,&#127814
POTATO,&#129364
CARROT,&#129365
EAR OF MAIZE ,&#127805
HOT PEPPER,&#127798
CUCUMBER,&#129362
MUSHROOM,&#127812
PEANUTS,&#129372
CHESTNUT,&#127792
BREAD,&#127838
CROISSANT,&#129360
BAGUETTE BREAD,&#129366
PANCAKES,&#129374
CHEESE WEDGE,&#129472
MEAT ON BONE,&#127830
POULTRY LEG,&#127831
BACON,&#129363
HAMBURGER,&#127828
FRENCH FRIES,&#127839
SLICE OF PIZZA ,&#127829
HOT DOG,&#127789
TACO,&#127790
BURRITO,&#127791
STUFFED FLATBREAD,&#129369
EGG,&#129370
COOKING,&#127859
SHALLOW PAN OF FOOD,&#129368
POT OF FOOD,&#127858
GREEN SALAD,&#129367
POPCORN,&#127871
BENTO BOX,&#127857
RICE CRACKER,&#127832
RICE BALL,&#127833
COOKED RICE,&#127834
CURRY AND RICE ,&#127835
STEAMING BOWL,&#127836
SPAGHETTI,&#127837
ROASTED SWEET POTATO,&#127840
ODEN,&#127842
SUSHI,&#127843
FRIED SHRIMP,&#127844
FISH CAKE WITH SWIRL DESIGN ,&#127845
DANGO,&#127841
SOFT ICE CREAM,&#127846
SHAVED ICE,&#127847
ICE CREAM,&#127848
DOUGHNUT,&#127849
COOKIE,&#127850
BIRTHDAY CAKE,&#127874
SHORTCAKE,&#127856
CHOCOLATE BAR,&#127851
CANDY,&#127852
LOLLIPOP,&#127853
CUSTARD,&#127854
HONEY POT,&#127855
BABY BOTTLE,&#127868
GLASS OF MILK,&#129371
HOT BEVERAGE,&#9749
TEACUP WITHOUT HANDLE,&#127861
SAKE BOTTLE AND CUP ,&#127862
BOTTLE WITH POPPING CORK,&#127870
WINE GLASS,&#127863
COCKTAIL GLASS,&#127864
TROPICAL DRINK,&#127865
BEER MUG,&#127866
CLINKING BEER MUGS,&#127867
CLINKING GLASSES,&#129346
TUMBLER GLASS,&#129347
FORK AND KNIFE WITH PLATE,&#127869
FORK AND KNIFE,&#127860
SPOON,&#129348
HOCHO ,&#128298
AMPHORA,&#127994
EARTH GLOBE EUROPE-AFRICA ,&#127757
EARTH GLOBE AMERICAS ,&#127758
EARTH GLOBE ASIA-AUSTRALIA ,&#127759
GLOBE WITH MERIDIANS,&#127760
WORLD MAP,&#128506
SILHOUETTE OF JAPAN ,&#128510
SNOW CAPPED MOUNTAIN ,&#127956
MOUNTAIN,&#9968
VOLCANO,&#127755
MOUNT FUJI,&#128507
CAMPING,&#127957
BEACH WITH UMBRELLA,&#127958
DESERT,&#127964
DESERT ISLAND,&#127965
NATIONAL PARK,&#127966
STADIUM,&#127967
CLASSICAL BUILDING,&#127963
BUILDING CONSTRUCTION,&#127959
HOUSE BUILDINGS,&#127960
CITYSCAPE,&#127961
DERELICT HOUSE BUILDING,&#127962
HOUSE BUILDING,&#127968
HOUSE WITH GARDEN,&#127969
OFFICE BUILDING,&#127970
JAPANESE POST OFFICE,&#127971
EUROPEAN POST OFFICE ,&#127972
HOSPITAL,&#127973
BANK,&#127974
HOTEL,&#127976
LOVE HOTEL,&#127977
CONVENIENCE STORE,&#127978
SCHOOL,&#127979
DEPARTMENT STORE,&#127980
FACTORY,&#127981
JAPANESE CASTLE,&#127983
EUROPEAN CASTLE ,&#127984
WEDDING,&#128146
TOKYO TOWER,&#128508
STATUE OF LIBERTY,&#128509
CHURCH,&#9962
MOSQUE,&#128332
SYNAGOGUE,&#128333
SHINTO SHRINE,&#9961
KAABA,&#128331
FOUNTAIN,&#9970
TENT,&#9978
FOGGY,&#127745
NIGHT WITH STARS,&#127747
SUNRISE OVER MOUNTAINS,&#127748
SUNRISE,&#127749
CITYSCAPE AT DUSK,&#127750
SUNSET OVER BUILDINGS ,&#127751
BRIDGE AT NIGHT,&#127753
HOT SPRINGS,&#9832
MILKY WAY,&#127756
CAROUSEL HORSE,&#127904
FERRIS WHEEL,&#127905
ROLLER COASTER,&#127906
BARBER POLE,&#128136
CIRCUS TENT,&#127914
PERFORMING ARTS,&#127917
FRAME WITH PICTURE,&#128444
ARTIST PALETTE,&#127912
SLOT MACHINE,&#127920
STEAM LOCOMOTIVE ,&#128642
RAILWAY CAR,&#128643
HIGH-SPEED TRAIN,&#128644
HIGH-SPEED TRAIN WITH BULLET NOSE,&#128645
TRAIN,&#128646
METRO,&#128647
LIGHT RAIL,&#128648
STATION,&#128649
TRAM,&#128650
MONORAIL,&#128669
MOUNTAIN RAILWAY,&#128670
TRAM CAR,&#128651
BUS,&#128652
ONCOMING BUS,&#128653
TROLLEYBUS,&#128654
MINIBUS,&#128656
AMBULANCE,&#128657
FIRE ENGINE,&#128658
POLICE CAR,&#128659
ONCOMING POLICE CAR,&#128660
TAXI,&#128661
ONCOMING TAXI,&#128662
AUTOMOBILE,&#128663
ONCOMING AUTOMOBILE,&#128664
RECREATIONAL VEHICLE,&#128665
DELIVERY TRUCK,&#128666
ARTICULATED LORRY,&#128667
TRACTOR,&#128668
BICYCLE,&#128690
SCOOTER ,&#128756
MOTOR SCOOTER,&#128757
RACING CAR,&#127950
RACING MOTORCYCLE ,&#127949
BUS STOP,&#128655
MOTORWAY,&#128739
RAILWAY TRACK,&#128740
FUEL PUMP,&#9981
POLICE CARS REVOLVING LIGHT ,&#128680
HORIZONTAL TRAFFIC LIGHT,&#128677
VERTICAL TRAFFIC LIGHT,&#128678
CONSTRUCTION SIGN ,&#128679
OCTAGONAL SIGN ,&#128721
ANCHOR,&#9875
SAILBOAT,&#9973
CANOE,&#128758
SPEEDBOAT,&#128676
PASSENGER SHIP,&#128755
FERRY,&#9972
MOTOR BOAT,&#128741
SHIP,&#128674
AIRPLANE,&#9992
SMALL AIRPLANE,&#128745
AIRPLANE DEPARTURE,&#128747
AIRPLANE ARRIVING ,&#128748
SEAT,&#128186
HELICOPTER,&#128641
SUSPENSION RAILWAY,&#128671
MOUNTAIN CABLEWAY,&#128672
AERIAL TRAMWAY,&#128673
ROCKET,&#128640
SATELLITE,&#128752
BELLHOP BELL,&#128718
DOOR,&#128682
SLEEPING ACCOMMODATION ,&#128716
BED,&#128719
COUCH AND LAMP,&#128715
TOILET,&#128701
SHOWER,&#128703
BATH ,&#128704
BATHTUB,&#128705
HOURGLASS,&#8987
HOURGLASS WITH FLOWING SAND,&#9203
WATCH,&#8986
ALARM CLOCK,&#9200
STOPWATCH,&#9201
TIMER CLOCK,&#9202
MANTELPIECE CLOCK,&#128368
CLOCK FACE TWELVE OCLOCK ,&#128347
CLOCK FACE TWELVE-THIRTY ,&#128359
CLOCK FACE ONE OCLOCK ,&#128336
CLOCK FACE ONE-THIRTY ,&#128348
CLOCK FACE TWO OCLOCK ,&#128337
CLOCK FACE TWO-THIRTY ,&#128349
CLOCK FACE THREE OCLOCK ,&#128338
CLOCK FACE THREE-THIRTY ,&#128350
CLOCK FACE FOUR OCLOCK ,&#128339
CLOCK FACE FOUR-THIRTY ,&#128351
CLOCK FACE FIVE OCLOCK ,&#128340
CLOCK FACE FIVE-THIRTY ,&#128352
CLOCK FACE SIX OCLOCK ,&#128341
CLOCK FACE SIX-THIRTY ,&#128353
CLOCK FACE SEVEN OCLOCK ,&#128342
CLOCK FACE SEVEN-THIRTY ,&#128354
CLOCK FACE EIGHT OCLOCK ,&#128343
CLOCK FACE EIGHT-THIRTY ,&#128355
CLOCK FACE NINE OCLOCK ,&#128344
CLOCK FACE NINE-THIRTY ,&#128356
CLOCK FACE TEN OCLOCK ,&#128345
CLOCK FACE TEN-THIRTY ,&#128357
CLOCK FACE ELEVEN OCLOCK ,&#128346
CLOCK FACE ELEVEN-THIRTY ,&#128358
NEW MOON SYMBOL ,&#127761
WAXING CRESCENT MOON SYMBOL ,&#127762
FIRST QUARTER MOON SYMBOL ,&#127763
WAXING GIBBOUS MOON SYMBOL ,&#127764
FULL MOON SYMBOL ,&#127765
WANING GIBBOUS MOON SYMBOL ,&#127766
LAST QUARTER MOON SYMBOL ,&#127767
WANING CRESCENT MOON SYMBOL ,&#127768
CRESCENT MOON,&#127769
NEW MOON WITH FACE ,&#127770
FIRST QUARTER MOON WITH FACE,&#127771
LAST QUARTER MOON WITH FACE,&#127772
THERMOMETER,&#127777
BLACK SUN WITH RAYS ,&#9728
FULL MOON WITH FACE,&#127773
SUN WITH FACE,&#127774
WHITE MEDIUM STAR,&#11088
GLOWING STAR,&#127775
SHOOTING STAR,&#127776
CLOUD,&#9729
SUN BEHIND CLOUD,&#9925
THUNDER CLOUD AND RAIN ,&#9928
WHITE SUN WITH SMALL CLOUD ,&#127780
WHITE SUN BEHIND CLOUD ,&#127781
WHITE SUN BEHIND CLOUD WITH RAIN ,&#127782
CLOUD WITH RAIN,&#127783
CLOUD WITH SNOW,&#127784
CLOUD WITH LIGHTNING,&#127785
CLOUD WITH TORNADO ,&#127786
FOG,&#127787
WIND BLOWING FACE ,&#127788
CYCLONE,&#127744
RAINBOW,&#127752
CLOSED UMBRELLA,&#127746
UMBRELLA,&#9730
UMBRELLA WITH RAIN DROPS,&#9748
UMBRELLA ON GROUND,&#9969
HIGH VOLTAGE SIGN ,&#9889
SNOWFLAKE,&#10052
SNOWMAN,&#9731
SNOWMAN WITHOUT SNOW,&#9924
COMET,&#9732
FIRE,&#128293
DROPLET,&#128167
WATER WAVE,&#127754
JACK-O-LANTERN,&#127875
CHRISTMAS TREE,&#127876
FIREWORKS,&#127878
FIREWORK SPARKLER ,&#127879
SPARKLES,&#10024
BALLOON,&#127880
PARTY POPPER,&#127881
CONFETTI BALL,&#127882
TANABATA TREE,&#127883
PINE DECORATION,&#127885
JAPANESE DOLLS,&#127886
CARP STREAMER,&#127887
WIND CHIME,&#127888
MOON VIEWING CEREMONY ,&#127889
RIBBON,&#127872
WRAPPED PRESENT,&#127873
REMINDER RIBBON,&#127895
ADMISSION TICKETS,&#127903
TICKET,&#127915
MILITARY MEDAL,&#127894
TROPHY,&#127942
SPORTS MEDAL,&#127941
FIRST PLACE MEDAL ,&#129351
SECOND PLACE MEDAL ,&#129352
THIRD PLACE MEDAL ,&#129353
SOCCER BALL,&#9917
BASEBALL,&#9918
BASKETBALL AND HOOP ,&#127936
VOLLEYBALL,&#127952
AMERICAN FOOTBALL,&#127944
RUGBY FOOTBALL,&#127945
TENNIS RACQUET AND BALL ,&#127934
BILLIARDS,&#127921
BOWLING,&#127923
CRICKET BAT AND BALL ,&#127951
FIELD HOCKEY STICK AND BALL ,&#127953
ICE HOCKEY STICK AND PUCK,&#127954
TABLE TENNIS PADDLE AND BALL ,&#127955
BADMINTON RACQUET AND SHUTTLECOCK ,&#127992
BOXING GLOVE,&#129354
MARTIAL ARTS UNIFORM,&#129355
GOAL NET,&#129349
DIRECT HIT,&#127919
FLAG IN HOLE,&#9971
ICE SKATE,&#9976
FISHING POLE AND FISH ,&#127907
RUNNING SHIRT WITH SASH ,&#127933
SKI AND SKI BOOT ,&#127935
FENCER ,&#129338
HORSE RACING,&#127943
SKIER,&#9975
SNOWBOARDER,&#127938
GOLFER ,&#127948
SURFER ,&#127940
ROWBOAT ,&#128675
SWIMMER ,&#127946
PERSON WITH BALL,&#9977
WEIGHT LIFTER ,&#127947
BICYCLIST ,&#128692
MOUNTAIN BICYCLIST ,&#128693
PERSON DOING CARTWHEEL,&#129336
WRESTLERS ,&#129340
WATER POLO ,&#129341
HANDBALL ,&#129342
JUGGLING ,&#129337
VIDEO GAME,&#127918
JOYSTICK,&#128377
GAME DIE,&#127922
BLACK SPADE SUIT ,&#9824
BLACK HEART SUIT ,&#9829
BLACK DIAMOND SUIT ,&#9830
BLACK CLUB SUIT ,&#9827
PLAYING CARD BLACK JOKER ,&#127183
MAHJONG TILE RED DRAGON ,&#126980
FLOWER PLAYING CARDS,&#127924
SPEAKER WITH CANCELLATION STROKE ,&#128263
SPEAKER,&#128264
SPEAKER WITH ONE SOUND WAVE ,&#128265
SPEAKER WITH THREE SOUND WAVES ,&#128266
PUBLIC ADDRESS LOUDSPEAKER ,&#128226
CHEERING MEGAPHONE ,&#128227
POSTAL HORN,&#128239
BELL,&#128276
BELL WITH CANCELLATION STROKE ,&#128277
MUSICAL SCORE,&#127932
MUSICAL NOTE,&#127925
MULTIPLE MUSICAL NOTES ,&#127926
STUDIO MICROPHONE,&#127897
LEVEL SLIDER,&#127898
CONTROL KNOBS,&#127899
MICROPHONE,&#127908
HEADPHONE,&#127911
RADIO,&#128251
SAXOPHONE,&#127927
GUITAR,&#127928
MUSICAL KEYBOARD,&#127929
TRUMPET,&#127930
VIOLIN,&#127931
DRUM WITH DRUMSTICKS ,&#129345
MOBILE PHONE,&#128241
MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT ,&#128242
BLACK TELEPHONE ,&#9742
TELEPHONE RECEIVER,&#128222
PAGER,&#128223
FAX MACHINE,&#128224
BATTERY,&#128267
ELECTRIC PLUG,&#128268
PERSONAL COMPUTER ,&#128187
DESKTOP COMPUTER,&#128421
PRINTER,&#128424
KEYBOARD,&#9000
THREE BUTTON MOUSE ,&#128433
TRACKBALL,&#128434
MINIDISC,&#128189
FLOPPY DISK,&#128190
OPTICAL DISC,&#128191
DVD,&#128192
MOVIE CAMERA,&#127909
FILM FRAMES,&#127902
FILM PROJECTOR,&#128253
CLAPPER BOARD,&#127916
TELEVISION,&#128250
CAMERA,&#128247
CAMERA WITH FLASH,&#128248
VIDEO CAMERA,&#128249
VIDEOCASSETTE,&#128252
LEFT-POINTING MAGNIFYING GLASS,&#128269
RIGHT-POINTING MAGNIFYING GLASS,&#128270
MICROSCOPE,&#128300
TELESCOPE,&#128301
SATELLITE ANTENNA,&#128225
CANDLE,&#128367
ELECTRIC LIGHT BULB ,&#128161
ELECTRIC TORCH ,&#128294
IZAKAYA LANTERN ,&#127982
NOTEBOOK WITH DECORATIVE COVER,&#128212
CLOSED BOOK,&#128213
OPEN BOOK,&#128214
GREEN BOOK,&#128215
BLUE BOOK,&#128216
ORANGE BOOK,&#128217
BOOKS,&#128218
NOTEBOOK,&#128211
LEDGER,&#128210
PAGE WITH CURL,&#128195
SCROLL,&#128220
PAGE FACING UP,&#128196
NEWSPAPER,&#128240
ROLLED-UP NEWSPAPER,&#128478
BOOKMARK TABS,&#128209
BOOKMARK,&#128278
LABEL,&#127991
MONEY BAG,&#128176
BANKNOTE WITH YEN SIGN ,&#128180
BANKNOTE WITH DOLLAR SIGN ,&#128181
BANKNOTE WITH EURO SIGN ,&#128182
BANKNOTE WITH POUND SIGN ,&#128183
MONEY WITH WINGS,&#128184
CREDIT CARD,&#128179
CHART WITH UPWARDS TREND AND YEN SIGN ,&#128185
CURRENCY EXCHANGE,&#128177
HEAVY DOLLAR SIGN,&#128178
ENVELOPE,&#9993
E-MAIL SYMBOL ,&#128231
INCOMING ENVELOPE,&#128232
ENVELOPE WITH DOWNWARDS ARROW ABOVE ,&#128233
OUTBOX TRAY,&#128228
INBOX TRAY,&#128229
PACKAGE,&#128230
CLOSED MAILBOX WITH RAISED FLAG,&#128235
CLOSED MAILBOX WITH LOWERED FLAG,&#128234
OPEN MAILBOX WITH RAISED FLAG,&#128236
OPEN MAILBOX WITH LOWERED FLAG,&#128237
POSTBOX,&#128238
BALLOT BOX WITH BALLOT,&#128499
PENCIL,&#9999
BLACK NIB,&#10002
LOWER LEFT FOUNTAIN PEN ,&#128395
LOWER LEFT BALLPOINT PEN ,&#128394
LOWER LEFT PAINTBRUSH ,&#128396
LOWER LEFT CRAYON ,&#128397
MEMO,&#128221
BRIEFCASE,&#128188
FILE FOLDER,&#128193
OPEN FILE FOLDER,&#128194
CARD INDEX DIVIDERS,&#128450
CALENDAR,&#128197
TEAR-OFF CALENDAR,&#128198
SPIRAL NOTE PAD ,&#128466
SPIRAL CALENDAR PAD ,&#128467
CARD INDEX,&#128199
CHART WITH UPWARDS TREND ,&#128200
CHART WITH DOWNWARDS TREND ,&#128201
BAR CHART,&#128202
CLIPBOARD,&#128203
PUSHPIN,&#128204
ROUND PUSHPIN,&#128205
PAPERCLIP,&#128206
LINKED PAPERCLIPS,&#128391
STRAIGHT RULER,&#128207
TRIANGULAR RULER,&#128208
